price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;build_age ;is_new;is_apartments;ceiling_height;number_of_rooms;link
7 400 000,00;17;EAR;24,3;37,5;2;3;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/299027821/
7 400 000,00;11;NEAR;21;13;1;4;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/296475423/
7 450 000,00;7;SEAR;25,7;16;1;7;1956;68;0;1;4;1;https://www.cian.ru/sale/flat/284402254/
7 490 000,00;19;NAR;24,9;37,5;7;9;1972;52;0;0;2,6;1;https://www.cian.ru/sale/flat/299568425/
7 490 000,00;9;NEAR;31,9;21;1;9;1967;57;0;0;2,64;1;https://www.cian.ru/sale/flat/300396855/
7 490 000,00;7;NEAR;19,1;10,1;7;7;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298794106/
7 495 000,00;7;SEAR;18,9;10,9;1;7;2019;5;0;1;4;1;https://www.cian.ru/sale/flat/296279120/
7 499 999,00;12;SAR;40;37,5;3;5;2017;7;0;1;2,64;2;https://www.cian.ru/sale/flat/293054575/
7 500 000,00;19;SWAR;38,3;19,6;11;17;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/299520907/
7 500 000,00;18;SEAR;19,7;9,4;25;25;2023;1;1;0;3;1;https://www.cian.ru/sale/flat/298407427/
7 500 000,00;17;SEAR;31,5;21,4;2;9;1966;58;0;0;2,64;1;https://www.cian.ru/sale/flat/299946851/
7 500 000,00;16;SEAR;79,1;55,4;5;5;1957;67;0;0;2,8;3;https://www.cian.ru/sale/flat/298969111/
7 500 000,00;10;NEAR;25,3;17,3;1;9;1976;48;0;0;2,64;1;https://www.cian.ru/sale/flat/299267264/
7 500 000,00;8;WAR;30,4;18,7;5;5;1967;57;0;0;3;1;https://www.cian.ru/sale/flat/298101474/
7 500 000,00;8;SAR;32,5;19;1;9;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/300413307/
7 500 000,00;7;EAR;32,6;18,6;8;9;1974;50;0;0;2,64;1;https://www.cian.ru/sale/flat/297124834/
7 500 000,00;7;SAR;33;19;5;9;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/298662291/
7 550 000,00;7;CAR;19;14;4;4;1917;107;0;1;3;1;https://www.cian.ru/sale/flat/299526999/
7 580 000,00;3;EAR;32;18;2;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/299472933/
7 588 000,00;13;SWAR;38;19,1;10;17;2009;15;0;0;2,7;1;https://www.cian.ru/sale/flat/296151287/
7 600 000,00;10;EAR;25;37,5;6;9;1972;52;0;0;2,64;1;https://www.cian.ru/sale/flat/300460233/
7 600 000,00;9;WAR;32,6;18;10;12;1979;45;0;0;2,7;1;https://www.cian.ru/sale/flat/291066914/
7 600 000,00;4;SWAR;37,7;17,7;2;14;2009;15;0;0;2,7;1;https://www.cian.ru/sale/flat/298991889/
7 650 000,00;19;NAR;35;22;4;7;2022;2;0;1;4,2;1;https://www.cian.ru/sale/flat/298702852/
7 650 000,00;18;NEAR;31,5;19;6;18;2019;5;0;1;3,1;1;https://www.cian.ru/sale/flat/300384115/
7 700 000,00;15;SWAR;35;15;12;14;2008;16;0;0;2,64;1;https://www.cian.ru/sale/flat/296254383/
7 700 000,00;11;NEAR;21;14;3;9;1971;53;0;0;2,64;1;https://www.cian.ru/sale/flat/300078174/
7 700 000,00;9;NWAR;29;19;14;24;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/299935320/
7 700 000,00;9;SAR;31;37,5;1;17;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/300418736/
7 700 000,00;6;SAR;22;13;6;9;1970;54;0;0;2,64;1;https://www.cian.ru/sale/flat/300939633/
7 700 000,00;6;SAR;32;18,2;7;9;1974;50;0;0;2,64;1;https://www.cian.ru/sale/flat/297425926/
7 749 999,00;4;NEAR;29,5;37,5;1;5;1955;69;0;1;3;1;https://www.cian.ru/sale/flat/300775172/
7 750 000,00;20;SWAR;34;17,1;3;5;1986;38;0;0;3;1;https://www.cian.ru/sale/flat/299057343/
7 750 000,00;14;SEAR;23;12;5;16;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/298521910/
7 750 000,00;9;NAR;19;15;4;5;2019;5;0;1;3,1;1;https://www.cian.ru/sale/flat/284697038/
7 769 500,00;8;NEAR;37,65;13,2;4;8;2024;0;1;1;2,8;1;https://www.cian.ru/sale/flat/297367493/
7 790 000,00;9;NEAR;31,8;37,5;1;12;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/300225912/
7 800 000,00;11;SAR;18;9;2;4;1999;25;0;1;3;1;https://www.cian.ru/sale/flat/300745951/
7 800 000,00;11;EAR;31,8;18;1;9;1966;58;0;0;2,64;1;https://www.cian.ru/sale/flat/300553532/
7 800 000,00;7;CAR;20,2;37,5;1;2;1899;125;0;1;3;1;https://www.cian.ru/sale/flat/299254045/
7 800 000,00;6;NWAR;20,7;37,5;4;4;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298261390/
7 890 000,00;15;SWAR;26,9;11,8;1;9;1978;46;0;0;2,64;1;https://www.cian.ru/sale/flat/297727663/
7 900 000,00;19;SEAR;23,2;11;19;25;2023;1;0;0;2,6;1;https://www.cian.ru/sale/flat/297515488/
7 900 000,00;15;WAR;19,6;15;12;22;1980;44;0;1;2,65;1;https://www.cian.ru/sale/flat/294621795/
7 900 000,00;12;SWAR;43,4;20;16;17;2008;16;0;0;2,7;1;https://www.cian.ru/sale/flat/300894774/
7 900 000,00;11;SWAR;43,4;19,8;13;17;2008;16;0;0;3;1;https://www.cian.ru/sale/flat/300592828/
7 900 000,00;9;EAR;37;19;4;4;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298298332/
7 900 000,00;8;SAR;34,7;19,6;9;12;1975;49;0;0;2,5;1;https://www.cian.ru/sale/flat/300526999/
7 900 000,00;6;EAR;35,1;20,8;3;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/293651268/
7 900 000,00;5;NWAR;26,4;37,5;13;22;2022;2;0;1;3;1;https://www.cian.ru/sale/flat/296629506/
7 900 000,00;4;EAR;30;18;1;9;1968;56;0;0;2,64;1;https://www.cian.ru/sale/flat/299205665/
7 900 000,00;3;EAR;33;19;2;9;1976;48;0;0;2,7;1;https://www.cian.ru/sale/flat/300892104/
7 950 000,00;20;SAR;32,2;19;1;9;1971;53;0;0;2,64;1;https://www.cian.ru/sale/flat/300437152/
7 950 000,00;16;SEAR;31;18;9;9;1962;62;0;0;2,64;1;https://www.cian.ru/sale/flat/297818711/
7 950 000,00;13;SWAR;27,6;14,1;7;7;2001;23;0;0;2,64;1;https://www.cian.ru/sale/flat/299962900/
7 950 000,00;4;EAR;33,2;18;6;9;1967;57;0;0;2,64;1;https://www.cian.ru/sale/flat/300557845/
7 950 000,00;3;EAR;32,6;18;2;12;1966;58;0;0;2,64;1;https://www.cian.ru/sale/flat/300050892/
7 980 000,00;9;SEAR;37;21;4;9;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/300294201/
7 990 000,00;19;SWAR;38,2;37,5;12;16;2009;15;0;0;3;1;https://www.cian.ru/sale/flat/298901375/
7 990 000,00;17;NAR;36,9;17,7;19;25;2013;11;0;0;2,78;1;https://www.cian.ru/sale/flat/294374828/
7 990 000,00;14;EAR;33;17;5;5;1960;64;0;0;2,8;1;https://www.cian.ru/sale/flat/296182391/
7 990 000,00;4;EAR;30,4;18;7;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/297551830/
7 999 990,00;10;NEAR;35;37,5;1;12;1975;49;0;1;3;1;https://www.cian.ru/sale/flat/297153518/
8 000 000,00;20;EAR;32;19;4;9;1976;48;0;0;2,64;1;https://www.cian.ru/sale/flat/283252548/
8 000 000,00;19;SWAR;38,2;25;12;17;2009;15;0;0;3;1;https://www.cian.ru/sale/flat/297324682/
8 000 000,00;15;EAR;32;18;1;5;1960;64;0;0;2,7;1;https://www.cian.ru/sale/flat/292648915/
8 000 000,00;14;EAR;33;20;1;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/300385771/
8 000 000,00;13;WAR;20;12;12;16;1976;48;0;0;3;1;https://www.cian.ru/sale/flat/298811811/
8 000 000,00;13;EAR;32,1;37,5;6;9;1970;54;0;0;2,64;1;https://www.cian.ru/sale/flat/300834581/
8 000 000,00;10;NEAR;35;15;1;12;1975;49;0;1;2,6;1;https://www.cian.ru/sale/flat/297046262/
8 000 000,00;10;SAR;39,1;20,7;1;12;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/275891629/
8 000 000,00;9;SEAR;30,1;19;7;9;1968;56;0;0;2,6;1;https://www.cian.ru/sale/flat/298847221/
8 000 000,00;7;CAR;21;37,5;1;12;1972;52;0;1;3;1;https://www.cian.ru/sale/flat/300595497/
8 000 000,00;4;SAR;22;37,5;15;22;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/296390586/
8 000 000,00;4;EAR;30;19;5;9;1971;53;0;0;2,64;1;https://www.cian.ru/sale/flat/298700761/
8 010 000,00;8;NEAR;35,53;12,5;7;8;2024;0;1;1;2,8;1;https://www.cian.ru/sale/flat/297367762/
8 010 400,00;8;NEAR;33,99;10,7;8;8;2024;0;1;1;2,8;1;https://www.cian.ru/sale/flat/297367253/
8 020 080,00;8;NEAR;37,32;13,3;5;8;2024;0;1;1;2,8;1;https://www.cian.ru/sale/flat/297367515/
8 050 000,00;5;EAR;32,5;19;7;9;1975;49;0;0;2,64;1;https://www.cian.ru/sale/flat/299080209/
8 100 000,00;18;NEAR;31,5;12;8;18;2023;1;0;1;3;1;https://www.cian.ru/sale/flat/298902529/
8 100 000,00;16;NEAR;30,7;17,7;5;18;2023;1;0;1;3;1;https://www.cian.ru/sale/flat/299217031/
8 100 000,00;11;NEAR;33;18,5;1;12;1974;50;0;0;2,64;1;https://www.cian.ru/sale/flat/300335752/
8 100 000,00;10;NEAR;26;15;4;5;1954;70;0;1;3,15;1;https://www.cian.ru/sale/flat/300205593/
8 100 000,00;10;NEAR;36;25;1;4;1958;66;0;0;3;1;https://www.cian.ru/sale/flat/300383224/
8 100 000,00;9;SAR;32,7;18,7;7;9;1973;51;0;0;2,5;1;https://www.cian.ru/sale/flat/299017677/
8 100 000,00;8;SAR;32,6;18,5;9;9;1974;50;0;0;2,64;1;https://www.cian.ru/sale/flat/299694079/
8 100 000,00;8;SAR;32,7;19;9;9;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/294802470/
8 100 000,00;7;EAR;38;19;10;17;1985;39;0;0;2,65;1;https://www.cian.ru/sale/flat/298115061/
8 100 000,00;5;EAR;32,5;18,9;5;9;2019;5;0;0;2,64;1;https://www.cian.ru/sale/flat/299282460/
8 100 000,00;5;WAR;37;17;3;8;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/299767197/
8 149 000,00;6;EAR;32,9;20;6;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/298846753/
8 150 000,00;18;SEAR;32,9;18,8;5;9;1968;56;0;0;2,64;1;https://www.cian.ru/sale/flat/300151973/
8 150 000,00;13;EAR;19;11;3;11;1955;69;0;1;2,9;1;https://www.cian.ru/sale/flat/291141898/
8 150 000,00;11;SAR;34,7;19,2;2;12;1975;49;0;0;2,48;1;https://www.cian.ru/sale/flat/268804300/
8 150 000,00;11;SWAR;42;19,7;12;17;2007;17;0;0;2,64;1;https://www.cian.ru/sale/flat/300724047/
8 150 000,00;6;EAR;34,9;19,6;1;9;1976;48;0;0;2,64;1;https://www.cian.ru/sale/flat/300241684/
8 150 000,00;5;EAR;33,1;19,1;3;9;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/297901577/
8 190 000,00;17;EAR;35,4;19,3;4;12;1973;51;0;0;2,48;1;https://www.cian.ru/sale/flat/298749193/
8 200 000,00;20;WAR;23,5;18;3;5;1968;56;0;0;2,5;1;https://www.cian.ru/sale/flat/300845591/
8 200 000,00;20;SEAR;38;18,9;12;17;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/300115898/
8 200 000,00;20;SEAR;38,5;19;16;17;2007;17;0;0;3;1;https://www.cian.ru/sale/flat/298532932/
8 200 000,00;18;NEAR;30,2;11;14;18;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298622664/
8 200 000,00;16;NEAR;30,7;17,7;6;18;2023;1;0;1;3;1;https://www.cian.ru/sale/flat/299217033/
8 200 000,00;16;NEAR;32,5;18;1;9;1978;46;0;0;2,64;1;https://www.cian.ru/sale/flat/295159744/
8 200 000,00;16;SAR;32,7;19;8;9;1974;50;0;0;2,6;1;https://www.cian.ru/sale/flat/299610779/
