price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;is_new;is_apartments;ceiling_height;number_of_rooms;link
6500000;19;SEAR;40,6;20;6;6;2019;0;1;4;1;https://www.cian.ru/sale/flat/300977548/
6500000;12;NEAR;18;;4;12;1981;0;0;2,7;1;https://www.cian.ru/sale/flat/300726839/
6500000;5;WAR;31,5;21,3;4;9;;0;0;;1;https://www.cian.ru/sale/flat/299237703/
6500000;6;NEAR;30;20;1;5;2019;0;1;2,5;1;https://www.cian.ru/sale/flat/297248368/
6500000;14;NAR;18,1;13,1;2;17;2022;0;1;;1;https://www.cian.ru/sale/flat/299560251/
6507000;12;SEAR;26,7;15;4;9;;0;1;2,6;1;https://www.cian.ru/sale/flat/299938675/
6507500;12;SEAR;26,8;15;4;9;1980;0;1;2,6;1;https://www.cian.ru/sale/flat/299016463/
6507500;12;SEAR;26,9;15;6;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/300558065/
6507900;12;SEAR;26,9;;6;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/299789518/
6600000;;NAR;22;15;4;5;;0;1;3,5;1;https://www.cian.ru/sale/flat/300008616/
6600000;18;NAR;16,2;7,2;4;5;1965;0;1;;1;https://www.cian.ru/sale/flat/299009289/
6600000;13;SWAR;26,2;15;1;14;;0;1;;1;https://www.cian.ru/sale/flat/298261972/
6600000;9;SAR;22,7;10;4;6;2020;0;1;4,6;1;https://www.cian.ru/sale/flat/299890881/
6609260;2;NAR;20;10;3;3;;0;1;3,5;1;https://www.cian.ru/sale/flat/295685444/
6650000;12;NEAR;19;;7;12;1981;0;0;2,7;1;https://www.cian.ru/sale/flat/300116229/
6688500;12;SEAR;29,5;16,7;5;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/300558938/
6700000;18;NAR;26;16,2;4;4;1975;0;1;;1;https://www.cian.ru/sale/flat/298225520/
6700000;11;NEAR;19;11;1;4;;0;1;;1;https://www.cian.ru/sale/flat/296475414/
6700000;4;NEAR;20;14;9;16;;0;1;;1;https://www.cian.ru/sale/flat/295180835/
6749000;2;NEAR;28,6;20,6;1;5;1955;0;1;3,5;1;https://www.cian.ru/sale/flat/291328090/
6800000;17;SWAR;23;12;1;9;1970;0;1;;1;https://www.cian.ru/sale/flat/283478568/
6800000;4;CAR;58,8;;1;5;1929;0;1;;1;https://www.cian.ru/sale/flat/300212234/
6800000;7;SAR;28;11;1;10;1983;0;0;2,48;1;https://www.cian.ru/sale/flat/299185625/
6800000;19;;30;14;6;6;2019;0;1;4;1;https://www.cian.ru/sale/flat/292447340/
6800000;17;EAR;37;30;1;2;;0;1;5;1;https://www.cian.ru/sale/flat/299776751/
6825000;12;SEAR;30,3;;3;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/298016918/
6854250;12;SEAR;34,9;;1;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/296746930/
6875000;7;CAR;12,5;5,5;1;2;1900;0;1;3,2;1;https://www.cian.ru/sale/flat/298111008/
6890000;3;SWAR;37;30;6;7;;0;1;3,2;2;https://www.cian.ru/sale/flat/298036394/
6890000;9;CAR;10,2;;5;5;;0;1;;1;https://www.cian.ru/sale/flat/294542761/
6895000;8;CAR;20,9;12,9;1;3;1900;0;1;4,5;1;https://www.cian.ru/sale/flat/284489277/
6899000;1;NAR;25,1;;1;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294971554/
6900000;11;EAR;16;;5;9;1983;0;1;;1;https://www.cian.ru/sale/flat/299380581/
6900000;9;NAR;15,8;5,8;9;9;2019;0;0;;1;https://www.cian.ru/sale/flat/299501100/
6950000;20;NAR;30;20;5;5;2023;0;1;5,5;2;https://www.cian.ru/sale/flat/299828426/
6950000;8;CAR;28;18;2;8;1995;0;1;3,2;1;https://www.cian.ru/sale/flat/299027789/
6990000;11;NEAR;20;12;1;4;;0;1;;1;https://www.cian.ru/sale/flat/296475420/
6990000;7;SAR;14,6;;10;13;2017;0;1;2,64;1;https://www.cian.ru/sale/flat/296418700/
6990000;7;EAR;21;;1;6;1927;0;1;3;1;https://www.cian.ru/sale/flat/300302065/
6990000;9;CAR;10,9;;5;5;;0;1;;1;https://www.cian.ru/sale/flat/294544035/
7000000;18;SEAR;21,5;;23;25;2023;1;0;2,65;1;https://www.cian.ru/sale/flat/298746990/
7000000;4;EAR;29,7;18,6;1;9;;0;1;2,6;1;https://www.cian.ru/sale/flat/299472476/
7000000;4;NEAR;37,9;19;4;17;1988;0;0;2,64;1;https://www.cian.ru/sale/flat/300001960/
7000000;15;SEAR;41,5;21;11;12;;0;0;2,65;1;https://www.cian.ru/sale/flat/287073904/
7000000;14;WAR;20,3;9,3;5;16;;0;0;;1;https://www.cian.ru/sale/flat/294760157/
7000000;11;SAR;21,7;12,7;2;3;;0;1;;1;https://www.cian.ru/sale/flat/300395248/
7000000;4;NEAR;21;13;9;16;;0;1;;1;https://www.cian.ru/sale/flat/297150227/
7000000;11;EAR;31,7;12;1;17;1983;0;1;2,64;1;https://www.cian.ru/sale/flat/300072372/
7000000;11;WAR;83,7;49,4;1;26;2013;0;0;2,7;4;https://www.cian.ru/sale/flat/237399267/
7060000;7;CAR;25,3;;1;5;1959;0;1;2,8;1;https://www.cian.ru/sale/flat/299097548/
7100000;16;SEAR;18;;8;10;;0;0;;1;https://www.cian.ru/sale/flat/295974920/
7100000;7;EAR;29,4;15,5;2;5;1972;0;0;2,77;1;https://www.cian.ru/sale/flat/300373889/
7100000;7;EAR;28,7;;2;5;1972;0;0;2,64;1;https://www.cian.ru/sale/flat/300393795/
7105000;7;SEAR;24,5;16;1;7;1956;0;1;4;1;https://www.cian.ru/sale/flat/291960828/
7150000;13;;34,7;19,5;3;16;;0;1;;1;https://www.cian.ru/sale/flat/297486057/
7198354;2;NAR;25,1;15,1;1;3;;0;1;3,5;1;https://www.cian.ru/sale/flat/296523412/
7200000;8;NEAR;28;;1;6;1942;0;0;3,2;1;https://www.cian.ru/sale/flat/300191546/
7200000;8;CAR;19;7;2;3;1900;0;1;;1;https://www.cian.ru/sale/flat/296211422/
7205000;7;CAR;13,1;6,1;1;2;1900;0;1;3,2;1;https://www.cian.ru/sale/flat/297959869/
7220000;12;SEAR;35,1;21;9;9;1980;0;1;2,6;1;https://www.cian.ru/sale/flat/300484387/
7220000;12;SEAR;35,1;;9;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/296746996/
7220000;12;SEAR;35,1;20;9;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/300556981/
7250000;5;WAR;13;5;9;10;1986;0;1;;1;https://www.cian.ru/sale/flat/281954881/
7300000;10;SEAR;32,7;17,9;11;12;1980;0;0;2,5;1;https://www.cian.ru/sale/flat/300889888/
7300000;11;NWAR;31,5;14;1;14;;0;1;;1;https://www.cian.ru/sale/flat/293717676/
7300000;15;SEAR;20;9;10;18;2022;0;0;2,8;1;https://www.cian.ru/sale/flat/291183295/
7300000;20;NAR;26,4;12;5;5;;0;1;8;1;https://www.cian.ru/sale/flat/299715031/
7300000;20;SWAR;30,6;;1;3;1960;0;0;;1;https://www.cian.ru/sale/flat/298365407/
7300000;9;SEAR;38,9;20,9;5;12;1977;0;0;2,64;1;https://www.cian.ru/sale/flat/300075498/
7350000;7;SAR;35,5;20;1;9;1973;0;0;2,64;1;https://www.cian.ru/sale/flat/298284201/
7400000;11;NEAR;21;13;1;4;;0;1;;1;https://www.cian.ru/sale/flat/296475423/
7400000;17;EAR;24,3;;2;3;;0;1;;1;https://www.cian.ru/sale/flat/299027821/
7450000;7;SEAR;25,7;16;1;7;1956;0;1;4;1;https://www.cian.ru/sale/flat/284402254/
7450000;16;WAR;14,3;10;16;22;1980;0;1;2,65;1;https://www.cian.ru/sale/flat/292414373/
7490000;17;CAR;17;9;1;5;;0;1;;1;https://www.cian.ru/sale/flat/299456568/
7490000;9;NEAR;31,9;21;1;9;1967;0;0;2,64;1;https://www.cian.ru/sale/flat/300396855/
7490000;19;NAR;24,9;;7;9;1972;0;0;2,6;1;https://www.cian.ru/sale/flat/299568425/
7490000;7;NEAR;19,1;10,1;7;7;;0;1;;1;https://www.cian.ru/sale/flat/298794106/
7495000;7;SEAR;18,9;10,9;1;7;;0;1;4;1;https://www.cian.ru/sale/flat/296279120/
7499999;12;SAR;40;;3;5;2017;0;1;2,64;2;https://www.cian.ru/sale/flat/293054575/
7500000;18;SEAR;19,7;9,4;25;25;2023;1;0;;1;https://www.cian.ru/sale/flat/298407427/
7500000;17;SEAR;31,5;21,4;2;9;1966;0;0;2,64;1;https://www.cian.ru/sale/flat/299946851/
7500000;8;SAR;32,5;19;1;9;1973;0;0;2,64;1;https://www.cian.ru/sale/flat/300413307/
7500000;5;NAR;15,3;7,3;7;9;;0;0;;1;https://www.cian.ru/sale/flat/300591126/
7500000;8;WAR;30,4;18,7;5;5;1967;0;0;;1;https://www.cian.ru/sale/flat/298101474/
7500000;10;NEAR;25,3;17,3;1;9;1976;0;0;2,64;1;https://www.cian.ru/sale/flat/299267264/
7500000;7;EAR;32,6;18,6;8;9;1974;0;0;2,64;1;https://www.cian.ru/sale/flat/297124834/
7500000;7;SAR;33;19;5;9;1973;0;0;2,64;1;https://www.cian.ru/sale/flat/298662291/
7500000;19;SWAR;38,3;19,6;11;17;;0;0;;1;https://www.cian.ru/sale/flat/299520907/
7500000;16;SEAR;79,1;55,4;5;5;1957;0;0;2,8;3;https://www.cian.ru/sale/flat/298969111/
7550000;7;CAR;19;14;4;4;1917;0;1;;1;https://www.cian.ru/sale/flat/299526999/
7580000;3;EAR;32;18;2;9;;0;0;;1;https://www.cian.ru/sale/flat/299472933/
7588000;13;SWAR;38;19,1;10;17;2009;0;0;2,7;1;https://www.cian.ru/sale/flat/296151287/
